date,description,amount,category
2026-01-09,Refund,27.02,Income
2026-01-09,Payroll,1665.21,Income
2026-01-10,Payroll,1462.61,Income
2026-01-10,Starbucks,-8.77,Food & Drink
2026-01-11,Starbucks,-6.12,Food & Drink
2026-01-11,Pharmacy,-28.66,Health
2026-01-11,Starbucks,-9.1,Food & Drink
2026-01-12,Bell Mobility,-59.3,Bills
2026-01-13,Gym Membership,-49.1,Subscriptions
2026-01-13,Rent,-856.73,Housing
2026-01-14,Bell Mobility,-61.77,Bills
2026-01-15,Amazon,-61.89,Shopping
2026-01-15,Pharmacy,-30.51,Health
2026-01-15,Pharmacy,-21.37,Health
2026-01-16,Gym Membership,-43.39,Subscriptions
2026-01-16,Rent,-898.34,Housing
2026-01-17,Metro Grocery,-39.14,Groceries
2026-01-17,Pharmacy,-26.08,Health
2026-01-18,Starbucks,-8.85,Food & Drink
2026-01-18,Netflix,-13.89,Subscriptions
2026-01-19,Hydro One,-74.97,Bills
2026-01-19,Netflix,-21.95,Subscriptions
2026-01-19,Amazon,-51.21,Shopping
2026-01-20,Amazon,-62.84,Shopping
2026-01-20,Refund,20.85,Income
2026-01-20,Pharmacy,-33.04,Health
2026-01-21,Hydro One,-78.24,Bills
2026-01-21,Metro Grocery,-46.28,Groceries
2026-01-21,Metro Grocery,-74.29,Groceries
2026-01-22,Netflix,-23.07,Subscriptions
2026-01-23,Hydro One,-82.18,Bills
2026-01-23,Amazon,-30.37,Shopping
2026-01-23,Payroll,1442.52,Income
2026-01-24,Metro Grocery,-37.88,Groceries
2026-01-24,Uber,-13.86,Transport
2026-01-24,Metro Grocery,-42.26,Groceries
2026-01-25,Bell Mobility,-105.33,Bills
2026-01-25,Metro Grocery,-79.78,Groceries
2026-01-25,Metro Grocery,-76.96,Groceries
2026-01-26,Uber,-11.08,Transport
2026-01-26,Amazon,-35.27,Shopping
2026-01-26,Netflix,-11.54,Subscriptions
2026-01-27,Refund,20.69,Income
2026-01-27,Rent,-1262.58,Housing
2026-01-28,Hydro One,-89.04,Bills
